Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Singapore,253.61,244.83,246.7,232.34,225.56,,,
Thailand,335.55,349.73,414.9,469.51,472.22,,,
Timor-Leste,24.13,26.77,,,49.04,,,
Viet Nam,126.53,144.11,,154.33,145.8,,,
Afghanistan,,82.8,,83.85,,,,
Bangladesh,,44.25,45.88,,43.3,,,
Bhutan,136.7,146.16,143.65,146.27,,,,
India,29.9,30.48,32.2,32.31,32.01,,,
Iran (Islamic Republic of),332.52,,293.21,288.73,,,,
Maldives,,288.27,,335.74,416.05,,,
Nepal,,54.31,,,,,,
Pakistan,44.97,42.25,,43.07,42.43,,,
Sri Lanka,114.26,113.68,131.57,95.9,92.04,,,
Armenia,173.25,159.69,131.11,129.07,128.34,,,
Azerbaijan,222.66,221.99,217.63,233.92,,,,
Bahrain,,172.99,298.5,,,,,
Cyprus,55.7,60.04,48.44,46.11,46.94,,,
Georgia,574.64,467.49,222.72,257.07,,,,
Iraq (Central Iraq),97.14,111.09,104.98,,,,,
Israel,250.78,263.71,238.05,261.74,,,,
Jordan,92.63,110.29,110.88,136.04,151.28,,,
Kuwait,126.58,,80.7,85.26,102.77,,,
Lebanon,112.57,102.76,102.01,107.13,108.02,,,
Oman,,,33.27,,,,,
Qatar,60.35,,54.73,,,,,
Saudi Arabia,170.21,,155.62,,,,,
State of Palestine,302.79,301.76,,,,,,
Syrian Arab Republic,,,,,,,,
Turkey,174.45,182.55,189.05,204.7,225.34,,,
United Arab Emirates,,109.73,110.17,108.14,,,,
Yemen,42.87,,54.83,,,,,
Belarus,386.31,303.88,299.78,313.42,,,,
Bulgaria,134.39,129.97,121.81,109.29,103.61,,,
Czechia,219.95,214.73,157.84,176.98,197.91,,,
Hungary,172.29,172.51,179.77,180.9,,,,
Poland,214.62,221.34,207.58,202.9,185.88,,,
Republic of Moldova,158.91,161.56,168.22,179.68,,,,
Romania,152.62,159.52,168.91,153.45,145.22,,,
Russian Federation,527.64,489.86,472.41,468.28,,,,
Slovakia,194.5,200.35,179.97,184.77,182.69,,,
Ukraine,338.69,,325.72,,,,,
Denmark,70.78,68.36,72.74,63.45,56.5,,,
Estonia,256.01,248.18,235.75,230.51,215.08,,,
Faroe Islands,16.5,16.53,20.71,22.81,20.75,,,
Finland,60.57,60.94,60.42,57.45,56.96,,,
Guernsey,,,,,,,,
Iceland,46.72,47.31,46.71,,,,,
Ireland,90.61,91.84,87.51,80.79,80.09,,,
Isle of Man,,94.43,,,,,,
Jersey,,,,,,,,
Latvia,317.93,300.28,255.29,238.52,223.75,,,
Lithuania,323.06,322.53,312.47,296.08,255.52,,,
Norway,78.04,80.74,76.11,79.7,,,,
Sweden,70.48,65.97,59.46,58.76,56.68,,,
United Kingdom (England and Wales),150.31,150.06,143.79,145.76,,,,
United Kingdom (Northern Ireland),92.21,92.23,98.16,92.86,,,,
United Kingdom (Scotland),154.3,151.63,148.17,144.57,,,,
Albania,161.43,160.31,173.34,196.87,206.48,,,
Andorra,59.52,45.39,56.65,72.82,58.18,,,
Bosnia and Herzegovina,71.94,76.48,75.79,74,71.65,,,
Croatia,118.18,110.59,101.88,88.42,78.79,,,
Gibraltar,,200.62,,,,,,
Greece,111.89,112.29,114.82,107.25,88.69,,,
Holy See,,125.16,,,125,,,
Italy,114.49,112.33,106.82,91.56,89.32,,,
Kosovo under UNSCR 1244,78.93,94.58,96.12,99.72,79,,,
Malta,141.04,140.76,147.57,139.09,134.95,,,
Montenegro,213.18,213.35,170.34,179.6,180.73,,,
Portugal,122.69,131.95,138.96,136.49,138.87,,,
San Marino,,,,,6.29,,,
Serbia,122.67,113.84,112.23,115.69,113.7,,,
Slovenia,61.83,66.75,65.87,73.67,67.67,,,
Spain,150.88,147.09,143.72,140.55,133.59,,,
The former Yugoslav Republic of Macedonia,121.74,122.89,,150.12,164.88,,,
Austria,106.3,104.13,104.42,102.06,,,,
Belgium,,101.2,108.72,104.83,97.3,,,
France,102.4,104.74,105.06,103.35,103.54,,,
Germany,86.47,85.16,82.19,78.4,78.1,,,
Liechtenstein,194.94,163.43,183.74,142.04,140.87,,,
Luxembourg,122.5,125.08,120.39,112.47,121.85,,,
Monaco,86.05,88.23,77.28,,90.11,,,
Netherlands,83.7,80.44,75.68,70.75,64.11,,,
Switzerland,70.98,76.06,81.93,79.39,78.3,,,
Australia,129.12,128.24,132.25,143.05,150.75,,,
New Zealand,191.51,190.88,184.15,192.22,201.41,,,
Fiji,,159.81,,173.73,174.3,,,
New Caledonia,175.37,,156.74,,170.27,,,
Northern Mariana Islands,304.32,,,320.86,,,,
Papua New Guinea,,48.46,,61.36,63.84,,,
Solomon Islands,,52.99,57.25,49.29,46.44,,,
Vanuatu,,78.38,,,86.91,,,
Guam,,359.32,,450.03,445.01,,,
Kiribati,,99.42,,108.63,129.87,,,
Marshall Islands,78.03,,68.2,66.17,,,,
Micronesia (Federated States of),91.81,,103.16,126.87,,,,
Nauru,,257.96,,137.58,,,,
Palau,354.27,,243.8,341.28,,,,
American Samoa,,347.66,,362.59,,,,
Cook Islands,,165.71,,178.53,177.6,,,
French Polynesia,,155.6,,153.33,,,,
Samoa,227.81,,,,259.28,,,
Tonga,,150.81,,166.69,,,,
Tuvalu,,121.7,,111.19,,,,
