Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Poland,2015,Plant-based NPS,"3,247.60",Kilogram,,,
Poland,2012,Plant-based NPS,24.8,Kilogram,,,
Poland,2011,Plant-based NPS,40,Kilogram,,,
Portugal,2011,Plant-based NPS,65.85,Kilogram,,,
Sweden,2015,Plant-based NPS,"3,504",Kilogram,,,
Sweden,2013,Plant-based NPS,200.02,Kilogram,,,
Sweden,2012,Plant-based NPS,"11,749",Kilogram,,,
Sweden,2011,Plant-based NPS,"18,300",Kilogram,,,
Switzerland,2014,Plant-based NPS,"1,610",Kilogram,,,
Switzerland,2012,Plant-based NPS,"1,564",Kilogram,,,
Switzerland,2011,Plant-based NPS,"1,427",Kilogram,,,
Australia,2015,Plant-based NPS,10.17,Kilogram,,,
Australia,2015,Plant-based NPS,94,Kilogram,,,
Australia,2015,Plant-based NPS,"4,890.70",Kilogram,,,
Australia,2013,Plant-based NPS,456.02,Kilogram,,,
