Country,2011,2012,2013,2014,2015,Definition,Interpretation,Link
Belgium,887.04,924.69,896.02,858.87,776.08,,,
France*,546.09,573.4,603.83,591.31,592.57,,,
Germany,523.77,534.57,543.06,553.12,574.96,,,
Liechtenstein,268.22,380.53,337.47,595.4,447.63,,,
Luxembourg,688.29,594.01,623.8,784.8,,,,
Monaco,,,,,,,,
Netherlands,"1,821.73","1,791.27","1,732.95","1,507.76","1,347.92",,,
Switzerland*,822.28,918.83,846.56,775.83,633.46,,,
Australia*,927.79,938.44,835.95,770,769.87,,,
New Zealand,"1,351.31","1,193.38","1,170.07",,,,,
Solomon Islands,,,,,,,,
