Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Denmark,2013,287.79,Kilogram,,,
Denmark,2012,290.45,Kilogram,,,
Denmark,2011,240,Kilogram,,,
Estonia,2015,117.06,Kilogram,,,
Estonia,2014,29.95,Kilogram,,,
Estonia,2013,25.44,Kilogram,,,
Estonia,2012,13.54,Kilogram,,,
Estonia,2011,41.61,Kilogram,,,
Finland,2015,300,Kilogram,,,
Finland,2014,298,Kilogram,,,
Finland,2013,84,Kilogram,,,
Finland,2012,124,Kilogram,,,
Finland,2011,71,Kilogram,,,
France,2015,384,Kilogram,,,
France,2014,268,Kilogram,,,
France,2013,473,Kilogram,,,
France,2012,279.37,Kilogram,,,
France,2011,601.28,Kilogram,,,
Germany,2015,"1,356.11",Kilogram,,,
Germany,2014,"1,335.80",Kilogram,,,
Germany,2013,"1,261.80",Kilogram,,,
Germany,2012,"1,120.55",Kilogram,,,
Germany,2011,"1,368.36",Kilogram,,,
Greece,2015,1.97,Kilogram,,,
Greece,2014,1.39,Kilogram,,,
Greece,2013,1.18,Kilogram,,,
Greece,2012,0.28,Kilogram,,,
Greece,2011,1.84,Kilogram,,,
Hungary,2015,32.48,Kilogram,,,
Hungary,2014,15.95,Kilogram,,,
Hungary,2013,74.81,Kilogram,,,
Hungary,2012,17.44,Kilogram,,,
Hungary,2011,24.1,Kilogram,,,
Ireland,2015,16.83,Kilogram,,,
Ireland,2014,4.58,Kilogram,,,
Ireland,2013,38.2,Kilogram,,,
Italy,2015,18.56,Kilogram,,,
Italy,2014,3.3,Kilogram,,,
Italy,2013,39.41,Kilogram,,,
Italy,2012,2.48,Kilogram,,,
Italy,2011,17.05,Kilogram,,,
Latvia,2015,26.71,Kilogram,,,
Latvia,2014,5.25,Kilogram,,,
Latvia,2013,1.57,Kilogram,,,
Lithuania,2015,58.49,Kilogram,,,
Lithuania,2014,3.85,Kilogram,,,
Lithuania,2013,13.05,Kilogram,,,
Lithuania,2012,26,Kilogram,,,
Lithuania,2011,13.18,Kilogram,,,
Luxembourg,2015,0.06,Kilogram,,,
Luxembourg,2013,4.51,Kilogram,,,
Luxembourg,2011,2.55,Kilogram,,,
Netherlands,2015,"1,543",Kilogram,,,
Netherlands,2012,680,Kilogram,,,
Norway,2015,470.6,Kilogram,,,
Norway,2014,315.13,Kilogram,,,
Norway,2013,314.07,Kilogram,,,
Norway,2012,177.45,Kilogram,,,
Norway,2011,83.22,Kilogram,,,
Poland,2015,695,Kilogram,,,
Poland,2014,782.87,Kilogram,,,
Poland,2013,675.72,Kilogram,,,
Poland,2012,613.73,Kilogram,,,
Poland,2011,395.35,Kilogram,,,
Portugal,2015,2.46,Kilogram,,,
Portugal,2014,1.85,Kilogram,,,
Portugal,2013,0.33,Kilogram,,,
Portugal,2012,0.22,Kilogram,,,
Portugal,2011,0.17,Kilogram,,,
Slovakia,2015,0.00123,Kilogram,,,
Slovakia,2014,0.16,Kilogram,,,
Slovakia,2013,0.02,Kilogram,,,
Slovakia,2012,0.11,Kilogram,,,
Slovenia,2015,2.1,Kilogram,,,
Slovenia,2014,21.39,Kilogram,,,
Slovenia,2013,15.12,Kilogram,,,
Slovenia,2012,9.28,Kilogram,,,
Slovenia,2011,0.72,Kilogram,,,
Spain,2015,208.53,Kilogram,,,
Spain,2014,562,Kilogram,,,
Spain,2013,283,Kilogram,,,
Sweden,2015,507.9,Kilogram,,,
Sweden,2014,411.4,Kilogram,,,
Sweden,2013,631.2,Kilogram,,,
Sweden,2012,314.4,Kilogram,,,
Sweden,2011,168.4,Kilogram,,,
Switzerland,2015,73.2,Kilogram,,,
Switzerland,2014,28.37,Kilogram,,,
Switzerland,2013,97.26,Kilogram,,,
Switzerland,2012,7.96,Kilogram,,,
Switzerland,2011,35,Kilogram,,,
United Kingdom,2015,458.9,Kilogram,,,
United Kingdom,2014,623.72,Kilogram,,,
United Kingdom,2013,"1,730.10",Kilogram,,,
United Kingdom,2012,"1,491",Kilogram,,,
United Kingdom,2011,"1,192",Kilogram,,,
Australia,2015,"1,675.44",Kilogram,,,
Australia,2014,303.7,Kilogram,,,
Australia,2013,72.28,Kilogram,,,
Australia,2012,101.48,Kilogram,,,
Australia,2011,728.77,Kilogram,,,
New Zealand,2014,1.09,Kilogram,,,
New Zealand,2013,1.19,Kilogram,,,
New Zealand,2012,13.26,Kilogram,,,
New Zealand,2011,2.69,Kilogram,,,
