Country,Cocaine-type,Retail level price typical,Year
El Salvador,Cocaine base,1,2013
Chile,Cocaine base,28,2013
Paraguay,Cocaine base,1.6,2013
Uruguay,Cocaine base,2.3,2013
Pakistan,Cocaine base,202.6,2014
