Country,Year,All PWID,Definition,Interpretation,Link
Kyrgyzstan,2015,3.5,n/a,n/a,https://data.unodc.org/#state:30
"China, Macao SAR",2015,10,,,
Indonesia,2015,12.1,,,
Ukraine,2015,2.6,,,
Slovakia,2015,1,,,
Belarus,2014,0.19,,,
Belgium,2014,1.28,,,
Greece,2014,34.3,,,
Mexico,2013,1.9,,,
United Kingdom,2013,3.2,,,
Tajikistan,2012,11.76,,,
Israel,2012,0.2,,,
Cyprus,2012,30,,,
Kazakhstan,2011,2.2,,,
Myanmar,2011,9.1,,,
Portugal,2011,66,,,
Portugal,2011,9.18,,,
