Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Switzerland,2015,Other stimulants,0.18,Kilogram,,,
Switzerland,2015,Other stimulants,0.05,Kilogram,,,
Switzerland,2013,Other stimulants,0.01,Kilogram,,,
United Kingdom,2015,Other stimulants,173.1,Kilogram,,,
United Kingdom,2014,Other stimulants,101,Kilogram,,,
United Kingdom,2013,Other stimulants,154.4,Kilogram,,,
United Kingdom,2012,Other stimulants,"4,100",Kilogram,,,
United Kingdom,2011,Other stimulants,92,Kilogram,,,
Australia,2015,Other stimulants,106.94,Kilogram,,,
Australia,2014,Other stimulants,13.51,Kilogram,,,
Australia,2014,Other stimulants,6.69,Kilogram,,,
Australia,2012,Other stimulants,58,Kilogram,,,
Australia,2011,Other stimulants,0.55,Kilogram,,,
