Country,Year,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Ghana,2014,16.9,Kilogram,,,
Ghana,2012,20.3,Kilogram,,,
Ghana,2011,6.13,Kilogram,,,
Liberia,2015,6.2,Kilogram,,,
Liberia,2014,1.9,Kilogram,,,
Nigeria,2015,30.09,Kilogram,,,
Nigeria,2014,56.45,Kilogram,,,
Nigeria,2013,24.53,Kilogram,,,
Nigeria,2012,211.03,Kilogram,,,
Nigeria,2011,39.75,Kilogram,,,
Bahamas,2014,1.54,Kilogram,,,
Cuba,2012,0.2,Kilogram,,,
Dominican Republic,2015,51.2,Kilogram,,,
Dominican Republic,2014,45.3,Kilogram,,,
Dominican Republic,2013,61.1,Kilogram,,,
Dominican Republic,2012,38.7,Kilogram,,,
Dominican Republic,2011,42,Kilogram,,,
Haiti,2015,15.7,Kilogram,,,
Trinidad and Tobago,2012,0.63,Kilogram,,,
Belize,2015,26,Kilogram,,,
Costa Rica,2015,30.53,Kilogram,,,
Costa Rica,2014,3.39,Kilogram,,,
Costa Rica,2013,4,Kilogram,,,
Costa Rica,2012,12.9,Kilogram,,,
Costa Rica,2011,4.6,Kilogram,,,
El Salvador,2014,12.71,Kilogram,,,
El Salvador,2012,14.48,Kilogram,,,
Guatemala,2015,83.4,Kilogram,,,
Guatemala,2014,134.18,Kilogram,,,
Guatemala,2013,17,Kilogram,,,
Guatemala,2012,8,Kilogram,,,
Guatemala,2011,0.1,Kilogram,,,
Honduras,2012,182,Kilogram,,,
Honduras,2011,7.73,Kilogram,,,
Nicaragua,2012,13,Kilogram,,,
Nicaragua,2011,86,Kilogram,,,
Panama,2014,24.1,Kilogram,,,
Panama,2013,122.97,Kilogram,,,
Panama,2012,111,Kilogram,,,
Panama,2011,194.56,Kilogram,,,
Canada,2015,140.45,Kilogram,,,
Canada,2014,129.85,Kilogram,,,
Canada,2013,143.9,Kilogram,,,
Canada,2012,113.7,Kilogram,,,
Canada,2011,124.6,Kilogram,,,
Mexico,2015,546.09,Kilogram,,,
Mexico,2014,386.7,Kilogram,,,
Mexico,2013,385.15,Kilogram,,,
Mexico,2012,246.6,Kilogram,,,
Mexico,2011,696.63,Kilogram,,,
United States of America,2015,"7,032.15",Kilogram,,,
United States of America,2014,"5,914.30",Kilogram,,,
United States of America,2013,"6,228.85",Kilogram,,,
United States of America,2012,"5,483.92",Kilogram,,,
United States of America,2011,"4,785.46",Kilogram,,,
Argentina,2015,0.01,Kilogram,,,
