Country,Year,Number,Definition,Interpretation,Link
Canada,2011,10.8,n/a,n/a,https://data.unodc.org/#state:37
United States,2012,9,,,
United States ,2011,3,,,
South Africa ,2014,18.5,,,
United States ,2011,9.6,,,
China ,2012,4.5,,,
Mexico ,2011,3.7,,,
Canada,2014,1,,,
