Country,Year,Drug,Quantity Seized,Unit of Measurement,Definition,Interpretation,Link
Canada,2012,Non-specified cocaine,12.96,Litre,,,
Argentina,2014,Non-specified cocaine,"2,760",Litre,,,
Suriname,2015,Non-specified cocaine,33.8,Litre,,,
Philippines,2013,Non-specified cocaine,1.8,Litre,,,
Turkey,2015,Non-specified cocaine,45.34,Litre,,,
United States of America,2015,Non-specified cocaine,"195,370",Millilitre,,,
United States of America,2014,Non-specified cocaine,"1,260,467",Millilitre,,,
United States of America,2013,Non-specified cocaine,"14,618",Millilitre,,,
The former Yugoslav Republic of Macedonia,2013,Non-specified cocaine,150,Millilitre,,,
